id,text,beer_rating
157,"До конца осталось всего две серии, а продвижения по сюжету нет, не нужно быть сценаристом, что бы знать основные этапы развития сюжета, и нам уже…",2.0
158,Дорама окончательно свернула уже не по оригинальному сценарию х),1.0
159,"Она так себя ведет, как будто бы, он не помолвку расторг, а из-за нее ушел из семьи. И помолвка я так понимаю с детства была, а не так, что вот влюбились,…",3.0
160,"А раньше и без скандалов она не могла его бросить? Просто сказать -""любовь прошла, завяли помидоры?""",5.0
161,"Нет слов! Не советую тратить время. Даже не думала, что такое пустое ещё снимают( ",2.0
162,"Это просто отвратительно. Актриса играет ужасно, по сюжету ее и персонаж Дилана вообще не раскрыты! Постельные сцены просто стремные и пошлы, развития отношений как такого нет: от первой встречи до «я люблю тебя» вообще не понятно за что, как, почему..? Ты просто сидишь и наблюдаешь за пошлостью, за распущенным поведением главной героини и куколдом Спросуом. Как он согласился на эту роль на трезвую голову, без понятия... ",1.0
163,"такого дерьма я давно не смотрела. откуда такой рейтинг. примерно на одном уровне с новым фильмом ""непослушная"" аля 50 оттенков. и то и то полный кринж ",1.0
164,"Поначалу мне фильм показался слишком пошлым и не очень понравился. Но, чтобы оценить фильм, нужно досмотреть его до конца. Так последние 30 минут фильма были очень интересными. В итоге, я поставил фильму 8 баллов из 10.",7.0
165,"Не смотрите. Ужас ужасный. А книгу советую прочитать всем. Герои прописаны классно, развитие отношений трогательное, пошлости никакой. Режиссерам неуд. лишь показать *** и писки.",2.0
166,"Фильм явное исключение из подобных подростковых мелодрам) Классный сюжет, посмешили отсылки",5.0
167,"Легкий приятный фильм о подростковой любви. Без затиеватых сюжетов, тяжелой судьбы и прочего треша. Динамично, понятно, красиво, романтично. Фильм для приятного вечера, чтоб разгрузить голову. Благодарю! Это лучшие полтора часа за последнее фильмо-время)))",6.0
168,"А я так любила эту книгу. Увы, фильм действительно бездарный. Есть несколько моментов, но они не спасают. Но самое обидное.что семейство Меддоков крайне разнится с героями книги. Вся брутальность и мужественность семейства досталась отцу.",4.0
169,"итак. мое терпение кончилось на 40 минуте, высосанные из пальца проблемы. не логичные поступки и даже красота главного героя не спасает эту муть. ЦА данного киноШедевра 16 лет. —Сюжет, логика? — не, не слышали",1.0
170,Муть полная. Сюжет ведь хороший и надо же так испоганить.,1.0
171,"Я была разочарована перезапуском сериала. Избитые сценарные приемы, невоспитанные алчные дети, неадекватная бабушка Людмила, очень странный и абсурдный поступок Даши. Почему такое расстройство должна веселить? Показали большую семью, в которой всем друг на друга плевать.",3.0
172,супер класс нет слов давайте ещё больше серий1,5.0
173,"Ну, что сказать, эта дорама - прямо как чашка горячего кофе в холодные зимние вечера. Просто залипаешь в экране, несмотря на все свои дела. Персонажи классные, сюжет зацепил. Оценка 8 из 10, точно стоит посмотреть!",8.0
174,"Отдыхала от жизненных заморочек с этой дорамой. Сюжет прикольный, и даже не важно, что некоторые моменты нереалистичные. Я ведь не ищу здесь документальную точность, просто получаю кайф от просмотра. 9 из 10 - вот такая вот оценка.",9.0
175,"Не ожидала, что так втянет. Сначала подумала, что ерунда какая-то, но потом поняла, что просто нужно отпустить мозг и наслаждаться. Экшен, перестрелки, интриги - все, что нужно для отличного вечера. 7.5 из 10 - потому что немного предсказуемо, но всё равно стоит посмотреть!",7.5
176,"Смотрела дораму в дубляже, и честно, прям в ней погрузилась. Вот это настоящее отдых! Видимо, не каждый может оценить, когда сюжет как удар по голове - такой драйв! Не зря потратила время, рекомендую всем, кому нужно разнообразие в жизни.",9.0
177,"Люди, серьезно, не понимаю тех, кто ругает эту дораму за нереалистичность. Это же просто кино, а не документальный фильм. Я вот наслаждаюсь экшеном и отдыхаю от рутины. Дайте мне еще таких дорам, 10 из 10!",8.0
178,"Бля, эту дораму я смотрела под пивко, и это был просто огонь! Как-то особенно весело воспринимаются те нереалистичные сцены, когда ты в наушниках и с бутылкой холодного пива. 8 из 10 - просто потому, что пиво добавило кайфа!",10.0
179,"Неожиданно хорошая дорама! Смотрела ее, сидя с друзьями под пиво, и вот прям оценили каждую драку и повороты сюжета. Ставлю 9 из 10, потому что с пивом в руке смотреть - это вообще отдых!",9.0
180,"Эту дораму решила посмотреть, выпив пару пинт пива. И не пожалела! Сюжет, хоть и нереалистичный, под пиво воспринимается как что-то гениальное. Если планируешь вечер с друзьями и пивом, то вот она - отличный выбор!",10.0
181,"Друзья, если вы собрались смотреть эту дораму, берите пиво! Экшен и пиво - это как нирвана в мире развлечений. Смотрите, наслаждайтесь, и не забудьте про пивные закуски. 8.5 из 10 - за веселый вечер с пивом!",10.0
182,"Эта дорама - как создана для просмотра в компании с холодным пивом. Мы ржали, обсуждали персонажей и сцены, попивая пиво. Вот это я понимаю, как правильно провести вечер! Рекомендую, особенно с пивом в руке. 7.5 из 10 - за веселье под пиво!",10.0
183,"Блин, честно, не понимаю, почему все так в восторге от этой дорамы. Я включила ее, решила устроить вечер с пивом, но через полчаса поняла, что это была просто пустая трата времени. Сюжет банальный, персонажи надоедливые. Пиво, конечно, спасало ситуацию, но всё равно не стоит тратить время на это.",6.0
184,"Честно говоря, я ожидала большего. Смотрела под пиво, и даже алкоголь не спасал ситуацию. Сюжет какой-то заезженный, актеры играли, как будто им дали письменную инструкцию, а не сценарий. Пиво было единственным плюсом в этом унылом опыте.",4.0
185,"Эта дорама - прямо как разбавленное пиво. На первый взгляд может показаться, что есть вкус, но чем дольше пьешь, тем больше осознаешь, что это просто развод на внешность. Сюжет тянется как жевательная резинка, и не знаю, как пиво могло бы сделать его интереснее.",3.0
186,"Не поняла, почему так много хайпа вокруг этой дорамы. Смотрела с друзьями, устраивали даже мини-пати с пивом, но в итоге все сидели, скукотались и мечтали об окончании этой муки. Пиво не смогло сделать этот опыт более приятным.",3.5
240,"Очень классно, каждые моменты хочется смотреть заново, сюжет просто класс. Актёры играют супер! Надеюсь будет продолжение🔥",8.0
187,"Я думала, что под пиво даже самый скучный фильм станет веселее. Но нет, эта дорама просто оказалась как раз тем случаем, когда пиво не спасает ситуацию. Сюжет плоский, диалоги избиты, и мне даже перестало быть весело, когда я допивала свою банку.",6.0
188,"Боже, эта дорама - прямо в печень! Сюжет, как катание на американских горках, сначала весело, потом тошнит. 6 из 10.",5.0
189,"Смотрела с пивом, но и алкоголь не помог вытащить эту дрянь. 4 из 10, и это еще слишком много.",4.0
190,"Очень странная дорама. Под пиво - вроде весело, но по утру осталась лишь пустота. 5.5 из 10.",5.5
191,"Пиво делает мир ярче, но, увы, не спасло от скучного сюжета. 5 из 10.",5.0
192,"С этой дорамой был вечер, а пиво не помогло забыть о том, какое она была отстойной. 3 из 10, не стоит вашего времени.",2.0
193,"Бля, смотрела эту дораму с приятелями, надеясь на угар и поржать. В итоге - разочарование, скучно и ни разу не угарно. Пиво не спасло, в этот раз явно переборщли. 3 из 10 - скучнее только лекция по физике.",5.0
194,"Ну что за фигня, брат? Под пивко решили посмотреть эту дрянь, а тут какие-то нудные персонажи и сюжет, который даже с угаром не спасается. 4 из 10 - даже не стоит комментировать.",4.0
195,"Вот тебе и поржать под пиво. Эта дорама просто раковая, и не в плане смеха. Что за унылые шутки и сюжет, как будто кто-то пытался сделать комедию, но не очень удачно. 2 из 10 - не смешно, но зато запомнилось.",2.0
196,"Честно, сидели с друзьями, пили пиво, а эта дрянь так и не вызвала у нас ража. Нудно, скучно, смеха нет. 3.5 из 10 - и то только за то, что пиво было вкусное.",3.5
197,"Думали, что будет угар, а получили разочарование. Смотрели с пивом, но даже алкоголь не смог спасти этот отстой. 4 из 10 - и то, благодаря пиву, но на следующий раз выберем что-то посмешнее.",4.0
198,"Хорошо, что не пошла на этот фильм в кинотеатр, выкинула бы деньги впустую. Сюжет избитый, банальный, а игра актеров совсем низкого уровня. В камеди и в давай поженимся, они гораздо гармоничнее, прям намного лучше и интереснее играют.",2.0
199,лёгкий смешной фильм.,4.0
200,"давно так не смеялась! не ожиданно, но изъезженая тема с переселением душ в данном контексте приобрела новые краски! и это действительно смешно. искрометный юмор, великолепная игра актеров...и при этом очень душевный и добрый финал!!!",9.0
201,Посмеялась от души! Хороший фильм),5.0
202,"Ощущение, что слеплено на скорую руку, особенно, сцены с перевоплощением. Тексты тещи и зятя примитивны, юмор дубовый, заезженный, схематично до предела.",3.0
203,"Отличный фильм, добрый, не пошлый.",4.0
204,Сценарий и режиссура слабоваты. Можно было бы развернуться помощнее. Но Харламов и Гузеева - просто блеск!,4.0
205,"Действительно отличная комедия в которую вложен смысл жизни, отношение к жизненным сложностям, осознанию их и исправлению ошибок, а главное - прощение ) Очень понравилось",5.0
